HandleCount  Name                                               Priority  ProcessId  ThreadCount  WorkingSetSize  

0            System Idle Process                                0         0          8            8192            

4149         System                                             8         4          141          57344           

0            Registry                                           8         124        4            78295040        

60           smss.exe                                           11        352        2            573440          

636          csrss.exe                                          13        452        11           2658304         

161          wininit.exe                                        13        540        3            1728512         

169          csrss.exe                                          13        548        10           2392064         

214          winlogon.exe                                       13        640        3            4018176         

643          services.exe                                       9         684        7            8237056         

4066         lsass.exe                                          9         704        7            19144704        

1038         svchost.exe                                        8         824        12           15028224        

33           fontdrvhost.exe                                    8         852        5            1568768         

33           fontdrvhost.exe                                    8         860        5            1523712         

1220         svchost.exe                                        8         936        12           19619840        

1704         svchost.exe                                        8         988        7            8769536         

1106         svchost.exe                                        8         500        49           96481280        

503          LogonUI.exe                                        13        440        9            45416448        

733          dwm.exe                                            13        552        14           21630976        

211          svchost.exe                                        8         984        1            2285568         

308          svchost.exe                                        8         1080       1            4370432         

404          svchost.exe                                        8         1152       8            14200832        

163          svchost.exe                                        8         1272       2            3588096         

141          svchost.exe                                        8         1300       5            3911680         

213          svchost.exe                                        8         1364       2            7499776         

184          svchost.exe                                        8         1372       5            2674688         

218          svchost.exe                                        8         1380       4            1933312         

187          svchost.exe                                        8         1388       4            4816896         

199          svchost.exe                                        8         1428       2            5529600         

249          svchost.exe                                        8         1492       8            2588672         

176          svchost.exe                                        8         1580       2            5365760         

306          svchost.exe                                        8         1688       5            4218880         

382          svchost.exe                                        8         1696       7            8597504         

298          svchost.exe                                        8         1708       12           5509120         

272          svchost.exe                                        8         1740       3            3272704         

360          svchost.exe                                        8         1808       4            5435392         

178          svchost.exe                                        8         1820       5            2768896         

183          svchost.exe                                        8         1872       2            3448832         

120          svchost.exe                                        8         1964       1            3715072         

161          svchost.exe                                        8         1976       5            3375104         

416          svchost.exe                                        8         1984       14           8806400         

182          svchost.exe                                        8         1120       4            3854336         

207          svchost.exe                                        8         1456       5            3555328         

437          svchost.exe                                        8         2128       10           6279168         

211          svchost.exe                                        8         2376       6            5009408         

555          spoolsv.exe                                        8         2528       7            15515648        

379          svchost.exe                                        8         2564       8            11251712        

